Match(start=11029, end=11041, dist=4, matched=bytearray(b'ation report')) FIlename=processed/438.txt
Match(start=14658, end=14671, dist=5, matched=bytearray(b'at these post')) FIlename=processed/438.txt
Match(start=15530, end=15538, dist=5, matched=bytearray(b't report')) FIlename=processed/438.txt
Match(start=1561, end=1573, dist=5, matched=bytearray(b'arty proport')) FIlename=processed/452.txt
Match(start=1024, end=1036, dist=5, matched=bytearray(b'at the Georg')) FIlename=processed/462.txt
Match(start=2121, end=2134, dist=5, matched=bytearray(b'at the memori')) FIlename=processed/48.txt
Match(start=175, end=189, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/483.txt
Match(start=13570, end=13582, dist=4, matched=bytearray(b'at the Sport')) FIlename=processed/491.txt
Match(start=16708, end=16721, dist=5, matched=bytearray(b'and he report')) FIlename=processed/491.txt
Match(start=18100, end=18113, dist=5, matched=bytearray(b'and he report')) FIlename=processed/491.txt
Match(start=19635, end=19648, dist=5, matched=bytearray(b'and he report')) FIlename=processed/491.txt
Match(start=27347, end=27357, dist=5, matched=bytearray(b' FA report')) FIlename=processed/491.txt
Match(start=33490, end=33499, dist=5, matched=bytearray(b'as report')) FIlename=processed/491.txt
Match(start=1025, end=1036, dist=5, matched=bytearray(b'a de Deport')) FIlename=processed/496.txt
Match(start=548, end=559, dist=4, matched=bytearray(b' the report')) FIlename=processed/501.txt
Match(start=1042, end=1052, dist=5, matched=bytearray(b' TV report')) FIlename=processed/516.txt
Match(start=843, end=853, dist=5, matched=bytearray(b'at Airport')) FIlename=processed/522.txt
Match(start=886, end=896, dist=5, matched=bytearray(b'at Airport')) FIlename=processed/524.txt
Match(start=834, end=844, dist=5, matched=bytearray(b'at Airport')) FIlename=processed/530.txt
Match(start=1309, end=1318, dist=5, matched=bytearray(b'as report')) FIlename=processed/534.txt
Match(start=2465, end=2474, dist=5, matched=bytearray(b'as report')) FIlename=processed/561.txt
Match(start=282, end=296, dist=5, matched=bytearray(b'as the support')) FIlename=processed/565.txt
Match(start=2726, end=2738, dist=5, matched=bytearray(b'at the Georg')) FIlename=processed/58.txt
Match(start=1168, end=1180, dist=5, matched=bytearray(b' the airport')) FIlename=processed/588.txt
Match(start=1203, end=1217, dist=5, matched=bytearray(b'ad the support')) FIlename=processed/588.txt
Match(start=1404, end=1416, dist=5, matched=bytearray(b' the airport')) FIlename=processed/588.txt
Match(start=872, end=887, dist=5, matched=bytearray(b'at the age of t')) FIlename=processed/596.txt
Match(start=2592, end=2604, dist=5, matched=bytearray(b'an transport')) FIlename=processed/596.txt
Match(start=3566, end=3578, dist=5, matched=bytearray(b'an transport')) FIlename=processed/609.txt
Match(start=364, end=377, dist=3, matched=bytearray(b'a, the report')) FIlename=processed/623.txt
Match(start=4439, end=4451, dist=5, matched=bytearray(b'ad therefore')) FIlename=processed/629.txt
Match(start=3313, end=3323, dist=5, matched=bytearray(b'and report')) FIlename=processed/637.txt
Match(start=2305, end=2315, dist=4, matched=bytearray(b'ate report')) FIlename=processed/643.txt
Match(start=10010, end=10023, dist=5, matched=bytearray(b'amitsu report')) FIlename=processed/643.txt
Match(start=1112, end=1123, dist=5, matched=bytearray(b'at the arra')) FIlename=processed/647.txt
Match(start=3646, end=3657, dist=5, matched=bytearray(b'a transport')) FIlename=processed/647.txt
Match(start=2372, end=2384, dist=5, matched=bytearray(b'at The-Sport')) FIlename=processed/676.txt
Match(start=5233, end=5244, dist=4, matched=bytearray(b' the report')) FIlename=processed/679.txt
Match(start=7820, end=7834, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/679.txt
Match(start=1973, end=1982, dist=5, matched=bytearray(b'as report')) FIlename=processed/680.txt
Match(start=7456, end=7467, dist=5, matched=bytearray(b'a transport')) FIlename=processed/680.txt
Match(start=11084, end=11096, dist=5, matched=bytearray(b't the import')) FIlename=processed/680.txt
Match(start=3309, end=3318, dist=4, matched=bytearray(b'th report')) FIlename=processed/685.txt
Match(start=3716, end=3727, dist=5, matched=bytearray(b'ther report')) FIlename=processed/685.txt
Match(start=716, end=726, dist=5, matched=bytearray(b't to repro')) FIlename=processed/698.txt
Match(start=1743, end=1757, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/704.txt
Match(start=5985, end=5996, dist=5, matched=bytearray(b'a transport')) FIlename=processed/704.txt
Match(start=6309, end=6319, dist=5, matched=bytearray(b'tly report')) FIlename=processed/704.txt
Match(start=7457, end=7471, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/704.txt
Match(start=2637, end=2648, dist=5, matched=bytearray(b' the deport')) FIlename=processed/711.txt
Match(start=5065, end=5076, dist=5, matched=bytearray(b't of deport')) FIlename=processed/711.txt
Match(start=2503, end=2517, dist=5, matched=bytearray(b'at the tempora')) FIlename=processed/712.txt
Match(start=4658, end=4669, dist=5, matched=bytearray(b' the deport')) FIlename=processed/712.txt
Match(start=185, end=198, dist=4, matched=bytearray(b'at the Depart')) FIlename=processed/713.txt
Match(start=675, end=684, dist=5, matched=bytearray(b'th deport')) FIlename=processed/713.txt
Match(start=2892, end=2903, dist=5, matched=bytearray(b' the deport')) FIlename=processed/713.txt
Match(start=6787, end=6798, dist=4, matched=bytearray(b' the report')) FIlename=processed/713.txt
Match(start=6967, end=6980, dist=3, matched=bytearray(b'at the deport')) FIlename=processed/713.txt
Match(start=7598, end=7612, dist=5, matched=bytearray(b't the preparat')) FIlename=processed/713.txt
Match(start=9377, end=9390, dist=5, matched=bytearray(b'to the deport')) FIlename=processed/713.txt
Match(start=9617, end=9628, dist=5, matched=bytearray(b' the deport')) FIlename=processed/713.txt
Match(start=11041, end=11054, dist=5, matched=bytearray(b'to the deport')) FIlename=processed/713.txt
Match(start=13463, end=13476, dist=5, matched=bytearray(b'to the deport')) FIlename=processed/713.txt
Match(start=22405, end=22416, dist=5, matched=bytearray(b' the deport')) FIlename=processed/713.txt
Match(start=22660, end=22671, dist=5, matched=bytearray(b' the deport')) FIlename=processed/713.txt
Match(start=23425, end=23436, dist=5, matched=bytearray(b' the deport')) FIlename=processed/713.txt
Match(start=7272, end=7282, dist=5, matched=bytearray(b'at the art')) FIlename=processed/717.txt
Match(start=8662, end=8675, dist=5, matched=bytearray(b't the propert')) FIlename=processed/717.txt
Match(start=10407, end=10421, dist=5, matched=bytearray(b'at the present')) FIlename=processed/723.txt
Match(start=27709, end=27723, dist=5, matched=bytearray(b'as the propert')) FIlename=processed/723.txt
Match(start=41701, end=41713, dist=5, matched=bytearray(b'as therefore')) FIlename=processed/723.txt
Match(start=3010, end=3020, dist=5, matched=bytearray(b'are report')) FIlename=processed/724.txt
Match(start=4906, end=4916, dist=5, matched=bytearray(b'are report')) FIlename=processed/724.txt
Match(start=10552, end=10562, dist=5, matched=bytearray(b'at the ori')) FIlename=processed/724.txt
Match(start=26449, end=26462, dist=5, matched=bytearray(b'are no report')) FIlename=processed/724.txt
Match(start=27521, end=27534, dist=5, matched=bytearray(b't to the port')) FIlename=processed/724.txt
Match(start=33067, end=33077, dist=5, matched=bytearray(b'are report')) FIlename=processed/724.txt
Match(start=38337, end=38349, dist=5, matched=bytearray(b' this report')) FIlename=processed/724.txt
Match(start=42113, end=42125, dist=5, matched=bytearray(b'as therefore')) FIlename=processed/724.txt
Match(start=46342, end=46350, dist=5, matched=bytearray(b'a report')) FIlename=processed/724.txt
Match(start=2750, end=2763, dist=5, matched=bytearray(b'as the opport')) FIlename=processed/739.txt
Match(start=246, end=260, dist=5, matched=bytearray(b'at the age of ')) FIlename=processed/751.txt
Match(start=820, end=831, dist=5, matched=bytearray(b't therefore')) FIlename=processed/774.txt
Match(start=2035, end=2047, dist=4, matched=bytearray(b'at transport')) FIlename=processed/776.txt
Match(start=4902, end=4911, dist=5, matched=bytearray(b'as report')) FIlename=processed/78.txt
Match(start=792, end=804, dist=5, matched=bytearray(b'at the Georg')) FIlename=processed/782.txt
Match(start=1357, end=1368, dist=5, matched=bytearray(b'alia report')) FIlename=processed/783.txt
Match(start=1513, end=1522, dist=5, matched=bytearray(b'as report')) FIlename=processed/783.txt
Match(start=1585, end=1593, dist=5, matched=bytearray(b'a report')) FIlename=processed/783.txt
Match(start=1891, end=1901, dist=5, matched=bytearray(b'ana report')) FIlename=processed/783.txt
Match(start=297, end=307, dist=5, matched=bytearray(b'a to repre')) FIlename=processed/80.txt
Match(start=2254, end=2264, dist=5, matched=bytearray(b'atter port')) FIlename=processed/808.txt
Match(start=512, end=523, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=666, end=677, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=2035, end=2048, dist=5, matched=bytearray(b'a, was report')) FIlename=processed/811.txt
Match(start=19205, end=19216, dist=5, matched=bytearray(b'alth depart')) FIlename=processed/811.txt
Match(start=19834, end=19845, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=21153, end=21161, dist=5, matched=bytearray(b't report')) FIlename=processed/811.txt
Match(start=25476, end=25485, dist=5, matched=bytearray(b'as report')) FIlename=processed/811.txt
Match(start=26612, end=26624, dist=5, matched=bytearray(b't was report')) FIlename=processed/811.txt
Match(start=27016, end=27025, dist=5, matched=bytearray(b'as report')) FIlename=processed/811.txt
Match(start=27083, end=27094, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=28177, end=28186, dist=5, matched=bytearray(b'as report')) FIlename=processed/811.txt
Match(start=28958, end=28970, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=29702, end=29713, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=29989, end=30001, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=30370, end=30382, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=32010, end=32022, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=32931, end=32943, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=33551, end=33560, dist=5, matched=bytearray(b'as report')) FIlename=processed/811.txt
Match(start=33850, end=33862, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=35903, end=35915, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=36673, end=36685, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=37855, end=37867, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=39549, end=39561, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=40702, end=40714, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=41862, end=41874, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=44061, end=44073, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=46837, end=46849, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=48018, end=48030, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=49132, end=49144, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=50093, end=50105, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=51395, end=51407, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=52728, end=52740, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=54425, end=54437, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=56236, end=56248, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=57829, end=57841, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=60728, end=60740, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=61010, end=61023, dist=5, matched=bytearray(b'as not report')) FIlename=processed/811.txt
Match(start=62098, end=62110, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=64297, end=64309, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=65895, end=65907, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=69023, end=69035, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=70829, end=70841, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=72834, end=72846, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=73932, end=73942, dist=3, matched=bytearray(b'ath report')) FIlename=processed/811.txt
Match(start=74279, end=74291, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=75992, end=76004, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=77450, end=77460, dist=3, matched=bytearray(b'ath report')) FIlename=processed/811.txt
Match(start=78004, end=78016, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=79422, end=79433, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=79886, end=79897, dist=4, matched=bytearray(b't as report')) FIlename=processed/811.txt
Match(start=80242, end=80254, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=81535, end=81546, dist=3, matched=bytearray(b'alth report')) FIlename=processed/811.txt
Match(start=83157, end=83168, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=83701, end=83713, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=85813, end=85824, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=87299, end=87312, dist=5, matched=bytearray(b'ak was report')) FIlename=processed/811.txt
Match(start=87451, end=87462, dist=4, matched=bytearray(b'aths report')) FIlename=processed/811.txt
Match(start=88243, end=88256, dist=5, matched=bytearray(b'ak was report')) FIlename=processed/811.txt
Match(start=90017, end=90029, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=91730, end=91742, dist=5, matched=bytearray(b'total report')) FIlename=processed/811.txt
Match(start=93208, end=93219, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=94766, end=94777, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=97218, end=97229, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=99584, end=99595, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=101267, end=101278, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=103090, end=103101, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=104813, end=104824, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=106703, end=106714, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=108848, end=108859, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=110454, end=110465, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=112330, end=112341, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=114585, end=114596, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=117059, end=117070, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=119056, end=119067, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=120539, end=120550, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=122437, end=122448, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
Match(start=124854, end=124865, dist=5, matched=bytearray(b'ases report')) FIlename=processed/811.txt
